"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"1255","2,2’-iminobis-etanol, produkty reakcji z epichlorohydrynąi 2-nitro-1,4-benzenodiaminą(HC Blue nr 5) i jego sole, stosowane jako substancje w produktach do farbowania włosów","68478-64-8/158571-58-5",
"1256","N-metylo-1,4-diaminoantrachinon, produkty reakcji z epichlorohydrynąi monoetanolaminą(HC Blue nr 4) i jego sole, stosowane jako substancje w produktach do farbowania włosów","158571-57-4",
"1257","Kwas 4-aminobenzenosulfonowy (kwas sulfanilowy) i jego sole, stosowane jako substancje w produktach do farbowania włosów","121-57-3/515-74-2","204-482-5/208-208-5"
"1258","Kwas 3,3’-(sulfonylobis(2-nitro-4,1-fenyleno)imino)bis(6-(fenyloamino))- benzenosulfonowy, i jego sole, stosowane jako substancje w produktach do farbowania włosów","6373-79-1","228-922-0"
"1259","3(lub 5)-((4-(benzylometyloamino)fenylo)azo)-1,2-(lub 1,4)-dimetylo-1H-1,2,4-triazol i jego sole, stosowane jako substancje w produktach do farbowania włosów","89959-98-8/12221-69-1","289-660-0"
"1260","(2,2’-((3-chloro-4-((2,6-dichloro-4-nitrofenylo)azo)fenylo)imino)bisetanol (Disperse Brown 1) i jego sole, stosowane jako substancje w produktach do farbowania włosów","23355-64-8","245-604-7"
"1261","2-[[4-[etylo(2-hydroksyetylo)amino]fenylo]azo]-6-metoksy-3-metylo-benzotiazol i jego sole, stosowane jako substancje w produktach do farbowania włosów","12270-13-2","235-546-0"
"1262","2-[(4-chloro-2-nitrofenylo)azo]-N-(2-metoksyfenylo)-3-oksobutanamid (Pigment Yellow 73) i jego sole, stosowane jako substancje w produktach do farbowania włosów","13515-40-7","236-852-7"
"1263","2,2’-[(3,3’-dichloro[1,1’-bifenylo]-4,4’-diilo)bis(azo)]bis[3-okso-N-fenylobutanamid] (Pigment Yellow 12) i jego sole, stosowane jako substancje w produktach do farbowania włosów","6358-85-6","228-787-8"
"1264","Kwas 2,2’-(1,2-etylenodiyl)bis[5-(4-etoksyfenylo)azo] benzenosulfonowy i jego sole, stosowane jako substancje w produktach do farbowania włosów","2870-32-8","220-698-2"
"1265","2,3-dihydro-2,2-dimetylo-6-[(4-(fenyloazo)-1-naftalenylo)azo]-1H-perimidyna (Solvent Black 3) i jej sole, stosowane jako substancje w produktach do farbowania włosów","4197-25-5","224-087-1"
"1266","Kwas 3(lub 5)-[[4-[(7-amino-1-hydroksy-3-sulfoniano-2-naftylo)azo]-1-naftylo]azo] salicylowy i jego sole, stosowane jako substancje w produktach do farbowania włosów","3442-21-5/34977-63-4","222-351-0/252-305-5"
"1267","Kwas 7-(benzoiloamino)-4-hydroksy-3-[[4-[(4-sulfofenylo)azo]fenylo]azo]-2-naftalenosulfonowy, i jego sole, stosowane jako substancje w produktach do farbowania włosów","2610-11-9","220-028-9"
"1268","(μ-((7,7’-iminobis(4-hydroksy-3-((2-hydroksy-5-(N-metylosulfamoilo)fenylo)azo)naftaleno-2-sulfoniano))(6-)))dimiedzian(2-) i jego sole, stosowane jako substancje w produktach do farbowania włosów","37279-54-2","253-441-8"
"1269","Kwas 3-[(4-(acetyloamino)fenylo)azo]-4-hydroksy-7-[[[[5-hydroksy-6-(fenyloazo)-7-sulfo-2-naftalentylo]amino]karbonylo]amino]-2-naftalenosulfonowy i jego sole, stosowane jako substancje w produktach do farbowania włosów","3441-14-3","222-348-4"
"1270","Kwas 7,7’-(karbonyldiimino)bis(4-hydroksy-3-[[2-sulfo-4-[(4-sulfofenylo)azo]fenylo]azo]-2-naftalenosulfonowy, i jego sole, stosowane jako substancje w produktach do farbowania włosów","2610-10-8/25188-41-4","220-027-3"
"1271","N-(4-[bis[4-(dietyloamino)fenylo]metyleno]-2,5-cyckloheksadieno-1-ylideno)-N-etylo-etanoamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","2390-59-2","219-231-5"
"1272","2-[[(4-metoksyfenylo)metylohydrazono]metylo]-1,3,3-trimetylo-3H-indol i jego sole, stosowane jako substancje w produktach do farbowania włosów","54060-92-3","258-946-7"
"1273","2-(2-((2,4-dimetoksyfenylo)amino)etenylo)-1,3,3-trimetylo-3H-indol i jego sole, stosowane jako substancje w produktach do farbowania włosów","4208-80-4","224-132-5"
"1274","Nigrozyna rozpuszczalna w alkoholu (Solvent Black 5), stosowana jako substancja w produktach do farbowania włosów","11099-03-9",
"1275","3,7-bis(dietyloamino)-fenoksazyna-5, i jej sole, stosowane jako substancje w produktach do farbowania włosów","47367-75-9/33203-82-6","251-403-5"
"1276","9-(dimetyloamino)-benzo(a)fenoksazyna-5 i jej sole, stosowane jako substancje w produktach do farbowania włosów","7057-57-0/966-62-1","230-338-6/213-524-1"
"1277","6-amino-2-(2,4-dimetylofenylo)-1H-benz[de]izochinolino-1,3(2H)-dion (Solvent Yellow 44) i jego sole, stosowane jako substancje w produktach do farbowania włosów","2478-20-8","219-607-9"
"1278","1-amino-4-[[4-[(dimetyloamino)metylo]fenylo]amino]antrachinon i jego sole, stosowane jako substancje w produktach do farbowania włosów","67905-56-0/12217-43-5","267-677-4/235-398-7"
"1279","Laccaic Acid (CI Natural Red. 25) i jego sole, stosowane jako substancje w produktach do farbowania włosów","60687-93-6",
"1280","Kwas 5-[(2,4-dinitrofenylo)amino]-2-(fenyloamino)-benzenosulfonowy, i jego sole, stosowane jako substancje w produktach do farbowania włosów","6373-74-6/15347-52-1","228-921-5/239-377-3"
"1281","4-[(4-nitrofenylo)azo]anilina (Disperse Orange 3) i jej sole, stosowane jako substancje w produktach do farbowania włosów","730-40-5/70170-61-5","211-984-8"
"1282","4-nitro-m-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","5131-58-8","225-876-3"
"1283","1-amino-4-(metyloamino)-antrachinon (Disperse Violet 4) i jego sole, stosowane jako substancje w produktach do farbowania włosów","1220-94-6","214-944-8"
"1284","N-metylo-3-nitro-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","2973-21-9","221-014-5"
"1285","N1-(2-hydroksyetylo)-4-nitro-o-fenylenodiamina (HC Yellow nr 5) i jej sole, stosowane jako substancje w produktach do farbowania włosów","56932-44-6","260-450-0"
"1286","N1-(tris(hydroksymetylo))metylo-4-nitro-1,2-fenylenodiamina (HC Yellow nr 3) i jej sole, stosowane jako substancje w produktach do farbowania włosów","56932-45-7","260-451-6"
"1287","2-nitro-N-hydroksyetylo-p-anizydyna i jej sole, stosowane jako substancje w produktach do farbowania włosów","57524-53-5",
"1288","N,N’-dimetylo-N-hydroksyetylo-3-nitro-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","10228-03-2","233-549-1"
"1289","3-(N-metylo-N-(4-metyloamino-3-nitrofenylo)amino)-propano-1,2-diol i jego sole, stosowane jako substancje w produktach do farbowania włosów","93633-79-5","403-440-5"
"1290","Kwas 4-etyloamino-3-nitrobenzoesowy (N-etylo-3-nitro PABA) i jego sole, stosowane jako substancje w produktach do farbowania włosów","2788-74-1","412-090-2"
"1291","(8-[(4-amino-2-nitrofenylo)azo]-7-hydroksy-2-naftylo)trimetyloamon i jego sole, z wyjątkiem Basic Red 118 (CAS 71134-97-9) w formie zanieczyszczenia w Basic Brown 17, stosowane jako substancje w produktach do farbowania włosów","71134-97-9","275-216-3"
"1292","5-((4-(dimetyloamino)fenylo)azo)-1,4-dimetylo-1H-1,2,4-triazol i jego sole, stosowane jako substancje w produktach do farbowania włosów","12221-52-2",
"1293","4-(fenyloazo)-m-fenylenodiamina, i jej sole, stosowane jako substancje w produktach do farbowania włosów","495-54-5","207-803-7"
"1294","4-metylo-6-(fenyloazo)-1,3-benzenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","4438-16-8","224-654-3"
"1295","Kwas 5-(acetyloamino)-4-hydroksy-3-((2-metylofenylo)azo)-2,7-naftalenodisulfonowy i jego sole, stosowane jako substancje w produktach do farbowania włosów","6441-93-6","229-231-7"
"1296","4,4’-[(4-metylo-1,3-fenyleno)bis(azo)]bis[6-metylo-1,3-benzenodiamina] (Basic Brown 4) i jej sole, stosowane jako substancje w produktach do farbowania włosów","4482-25-1","224-764-1"
"1297","3-[[4-[[diamino(fenyloazo)fenylo]azo]-2-metylofenylo]azo]-N,N,N-trimetylo-benzenoamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","83803-99-0","280-920-9"
"1298","3-[[4-[[diamino(fenyloazo)fenylo]azo]-1-naftalenylo]azo]-N,N,N-trimetylo- benzenoamina, i jej sole, stosowane jako substancje w produktach do farbowania włosów","83803-98-9","280-919-3"
"1299","N-[4-[(4-(dietyloamino)fenylo)fenylometyleno]-2,5-cykloheksadieno-1-ilideno]-N-etylo-etanoamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","633-03-4","211-190-1"
"1300","1-[(2-hydroksyetylo)amino]-4-(metyloamino)-antrachinon, jego pochodne i sole, stosowane jako substancje w produktach do farbowania włosów","2475-46-9/86722-66-9","219-604-2/289-276-3"
"1301","1,4-diamino-2-metoksy-antrachinon (Disperse Red. 11) i jego sole, stosowane jako substancje w produktach do farbowania włosów","2872-48-2","220-703-8"
"1302","1,4-dihydroksy-5,8-bis[(2-hydroksyetylo)amino]antrachinon (Disperse Blue 7) i jego sole, stosowane jako substancje w produktach do farbowania włosów","3179-90-6","221-666-0"
"1303","1-[(3-aminopropylo)amino]-4-(metyloamino)antrachinon i jego sole, stosowane jako substancje w produktach do farbowania włosów","22366-99-0","244-938-0"
"1304","N-[6-[(2-chloro-4-hydroksyfenylo)imino]-4-metoksy-3-okso-1,4-cyckloheksadieno-1-ylo]acetamid (HC Yellow nr 8) i jego sole, stosowane jako substancje w produktach do farbowania włosów","66612-11-1","266-424-5"
"1305","[6-[[3-chloro-4-(metyloamino)fenylo]imino]-4-metylo-3-oksocykloheksa-1,4-dieno-1-ylo]mocznik (HC Red. nr 9) i jego sole, stosowane jako substancje w produktach do farbowania włosów","56330-88-2","260-116-4"
"1306","3,7-bis(dimetyloamino)-fenoksazyna-5 i jej sole, stosowane jako substancje w produktach do farbowania włosów","61-73-4","200-515-2"
"1307","4,6-bis(2-hydroksyetoksy)-m-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","94082-85-6",
"1308","5-amino-2,6-dimetoksy-3-hydroksypirydyna i jej sole, stosowane jako substancje w produktach do farbowania włosów","104333-03-1",
"1309","4,4’-diaminodifenyloamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","537-65-5","208-673-4"
"1310","4-dietyloamino-o-toluidyna i jej sole, stosowane jako substancje w produktach do farbowania włosów","148-71-0/24828-38-4/2051-79-8","205-722-1/246-484-9/218-130-3"
"1311","N,N-dietylo-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","93-05-0/6065-27-6/6283-63-2","202-214-1/227-995-6/228-500-6"
"1312","N,N-dimetylo-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","99-98-9/6219-73-4","202-807-5/228-292-7"
"1313","3,4-diaminotoluen i jego sole, stosowane jako substancje w produktach do farbowania włosów","496-72-0","207-826-2"
"1314","2,4-diamino-5-metylofenoksyetanol i jego sole, stosowane jako substancje w produktach do farbowania włosów","141614-05-3/113715-27-8",
"1315","6-amino-o-krezol i jego sole, stosowane jako substancje w produktach do farbowania włosów","17672-22-9",
"1316","Hydroksyetyloaminometylo-p-aminofenol i jego sole, stosowane jako substancje w produktach do farbowania włosów","110952-46-0/135043-63-9",
"1317","2-amino-3-nitrofenol i jego sole, stosowane jako substancje w produktach do farbowania włosów","603-85-0","210-060-1"
"1318","2-chloro-5-nitro-N-hydroksyetylo-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","50610-28-1","256-652-3"
"1319","2-nitro-p-fenylenodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","5307-14-2/18266-52-9","226-164-5/242-144-9"
"1320","Hydroksyetylo-2,6-dinitro-p-anizydyna i jej sole, stosowane jako substancje w produktach do farbowania włosów","122252-11-3",
"1321","6-nitro-2,5-pirydynodiamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","69825-83-8",
"1322","3,7-diamino-2,8-dimetylo-5-fenylo-fenazyna, i jej sole, stosowane jako substancje w produktach do farbowania włosów","477-73-6","207-518-8"
"1323","Kwas 3-hydroksy-4-[(2-hydroksynaftylo)azo]-7-nitronaftaleno-1-sulfonowy i jego sole, stosowane jako substancje w produktach do farbowania włosów","16279-54-2/5610-64-0","240-379-1/227-029-3"
"1324","3-[(2-nitro-4-(trifluorometylo)fenylo)amino]propan-1,2-diol (HC Yellow nr6) i jego sole, stosowane jako substancje w produktach do farbowania włosów","104333-00-8",
"1325","2-[(4-chloro-2-nitrofenylo)amino]etanol (HC Yellow nr 12) i jego sole, stosowane jako substancje w produktach do farbowania włosów","59320-13-7",
"1326","3-[[4-[(2-hydroksyetylo)metyloamino]-2-nitrofenylo]amino]-propano-1,2-diol i jego sole, stosowane jako substancje w produktach do farbowania włosów","173994-75-7/102767-27-1",
"1327","3-[[4-[etylo(2-hydroksyetylo)amino]-2-nitrofenylo]amino]-propano-1,2-diol i jego sole, stosowane jako substancje w produktach do farbowania włosów","114087-41-1/114087-42-2",
"1328","N-[4-[[4-(dietyloamino)fenylo][4-(etyloamino)-1-naftalentylo]metyleno]-2,5-cykloheksadieno-1-ylideno]-N-etylo-etanoamina i jej sole, stosowane jako substancje w produktach do farbowania włosów","2390-60-5","219-232-0"
"1329","4-[(4-aminofenylo)(4-iminocykloheksa-2,5-dieno-1-ylideno)metylo]-o- toluidyna i jej chlorowodorek (Basic Violet 14; CI 42510), stosowane jako substancje w produktach do farbowania włosów","3248-93-9/632-99-5 (HCl)","221-832-2/211-189-6 (HCl)"
"1330","Kwas 4-(2,4-dihydroksyfenylazo)benzenosulfonowy i jego sól sodowa (Acid Orange 6; CI 14270), stosowane jako substancje w produktach do farbowania włosów","2050-34-2/547-57-9 (Na)","218-087-0/208-924-8 (Na)"
"1331","Kwas 3-hydroksy-4-(fenylazo)-2-naftoesowy i jego sól wapniowa (Pigment Red 64:1; CI 15800), stosowane jako substancje w produktach do farbowania włosów","27757-79-5/6371-76-2 (Ca)","248-638-0/228-899-7 (Ca)"
"1332","Kwas 2-(6-hydroksy-3-okso-(3H)-ksanten-9-ylo)benzoesowy; fluorosceina i jej sól disodowa (Acid Yellow 73 sodium salt; CI 45350), stosowane jako substancje w produktach do farbowania włosów","2321-07-5/518-47-8 (Na)","219-031-8/208-253-0 (Na)"
"1333","4′,5′-dibromo-3′,6′-dihydroksyspiro[izobenzofurano-1(3H),9′-[9H]ksanten]-3-on; 4′,5′-dibromofluoresceina (Solvent Red 72) i jej sól disodowa (CI 45370), stosowane jako substancje w produktach do farbowania włosów","596-03-2/4372-02-5 (Na)","209-876-0/224-468-2 (Na)"
"1334","Kwas 2-(3,6-dihydroksy-2,4,5,7-tetrabromoksanten-9-ylo)benzoesowy; 2′,4′,5′,7′-tetrabromofluoresceina (Solvent Red 43), jego sól disodowa (Acid Red. 87; CI 45380) i jego sól glinu (Pigment Red 90:1 Aluminium lake), stosowane jako substancje w produktach do farbowania włosów","15086-94-9/17372-87-1 (Na)/15876-39-8 (Al)","239-138-3/241-409-6 (Na)/240-005-7 (Al)"
"1335","9-(2-karboksyfenylo)-3-(2-metylofenylo)amino)-6-((2- metylo-4-sulfofenyl)amino)ksantylium, sól wewnętrzna i jego sól sodowa (Acid Violet 9; CI 45190), stosowane jako substancje w produktach do farbowania włosów","10213-95-3/6252-76-2 (Na)","-/228-377-9 (Na)"
"1336","3′,6′-dihydroksy-4′,5′-dijodospiro(izobenzofurano-1(3H),9′- [9H]ksanten)-3-on (Solvent Red 73) i jego sól sodowa (Acid Red 95; CI 45425), stosowane jako substancje w produktach do farbowania włosów","38577-97-8/33239-19-9 (Na)","254-010-7/251-419-2 (Na)"
"1337","2′,4′,5′,7′-tetrajodofluoresceina, jej sól disodowa (Acid Red 51; CI 45430) i jej sól glinu (Pigment Red 172 Aluminium lake), stosowane jako substancje w produktach do farbowania włosów","15905-32-5/16423-68-0 (Na)/12227-78-0 (Al)","240-046-0/240-474-8 (Na)/235-440-4 (Al)"
"1338","1-hydroksy-2,4-diaminobenzen (2,4-diaminofenol) i jego dichlorowodorek (2,4-Diaminophenol HCl), stosowane jako substancje w produktach do farbowania włosów","95-86-3/137-09-7 (HCl)","202-459-4/205-279-4 (HCl)"
"1339","1,4-dihydroksybenzen (Hydroquinone), z wyjątkiem pozycji 14 w załączniku III","123-31-9","204-617-8"
"1340","Chlorek [4-[[4-anilino-1-naftylo][4-(dimetyloamino)fenylo]metyleno]cykloheksa-2,5-dien-1-ylideno]dimetyloamoniowy (Basic Blue 26; CI 44045), stosowany jako substancja w produktach do farbowania włosów","2580-56-5","219-943-6"
"1341","3-[(2,4-dimetylo-5-sulfonianofenylo)azo]-4-hydroksynaftaleno-1-sulfonian disodu (Ponceau SX; CI 14700), stosowany jako substancja w produktach do farbowania włosów","4548-53-2","224-909-9"
"1342","Tris[5,6-dihydro-5-(hydroksyimino)-6-oksonaftaleno-2-sulfoniano(2-)-N5, O6]żelazian(3-) trisodu (Acid Green 1; CI 10020), stosowany jako substancja w produktach do farbowania włosów","19381-50-1","243-010-2"
"1343","4-(fenylazo)rezorcynol (Solvent Orange 1; CI 11920) i jego sole, stosowane jako substancje w produktach do farbowania włosów","2051-85-6","218-131-9"
"1344","4-[(4-etoksyfenylo)azo]naftol (Solvent Red 3; CI 12010) i jego sole, stosowane jako substancje w produktach do farbowania włosów","6535-42-8","229-439-8"
"1345","1-[(2-chloro-4-nitrofenylo)azo]-2-naftol (Pigment Red 4; CI 12085) i jego sole, stosowane jako substancje w produktach do farbowania włosów","2814-77-9","220-562-2"
"1346","3-hydroksy-N-(o-tolilo)-4-[(2,4,5-trichlorofenylo)azo]naftaleno-2- karboksamid (Pigment Red 112; CI 12370) i jego sole, stosowane jako substancje w produktach do farbowania włosów","6535-46-2","229-440-3"
"1347","N-(5-chloro-2,4-dimetoksyfenylo)-4-[[5-[(dietyloamino)sulfonylo]-2-metoksyfenylo]azo]-3-hydroksynaftaleno-2-karboksamid (Pigment Red 5; CI 12490) i jego sole, stosowane jako substancje w produktach do farbowania włosów","6410-41-9","229-107-2"
"1348","4-[(5-chloro-4-metylo-2-sulfonianofenylo)azo]-3-hydroksy-2-naftoesan disodu (Pigment Red 48; CI 15865), stosowany jako substancja w produktach do farbowania włosów","3564-21-4","222-642-2"
"1349","3-hydroksy-4-[(1-sulfoniano-2-naftylo)azo]-2-naftoesan wapnia (Pigment Red 63:1; CI 15880), stosowany jako substancja w produktach do farbowania włosów","6417-83-0","229-142-3"
"1350","3-hydroksy-4-(4′-sulfonianonaftyloazo)naftaleno-2,7-disulfonian trisodu (Acid Red 27; CI 16185), stosowany jako substancja w produktach do farbowania włosów","915-67-3","213-022-2"
"1351","2,2′-[(3,3′-dichloro[1,1′-bifenylo]-4,4′-diylo)bis(azo)]bis[N-(2,4-dimetylofenylo)-3-oksobutyramid] (Pigment Yellow 13; CI 21100), stosowany jako substancja w produktach do farbowania włosów","5102-83-0","225-822-9"
"1352","2,2′-[cykloheksylidenobis[(2-metylo-4,1-fenyleno)azo]]bis[4-cykloheksylofenol] (Solvent Yellow 29; CI 21230), stosowany jako substancja w produktach do farbowania włosów","6706-82-7","229-754-0"
"1353","1-(4-(fenylazo)fenylazo)-2-naftol (Solvent Red 23; CI 26100), stosowany jako substancja w produktach do farbowania włosów","85-86-9","201-638-4"
"1354","6-amino-4-hydroksy-3-[[7-sulfoniano-4-[(4-sulfonianofenylo)azo]-1-naftylo]azo]naftaleno-2,7-disulfonian tetrasodu (Food Black 2; CI 27755), stosowany jako substancja w produktach do farbowania włosów","2118-39-0","218-326-9"
"1355","N-(4-((4-(dietyloamino)fenylo)(2,4-disulfofenylo)metyleno)-2,5- cyckloheksadieno-1-ylideno)-N-etyloetanoamina, wodorotlenek, sól wewnętrzna, sól sodowa (Acid Blue 1; CI 42045), stosowane jako substancje w produktach do farbowania włosów","129-17-9","204-934-1"
"1356","N-(4-((4-(dietyloamino)fenylo)(5-hydroksy-2,4-disulfofenylo)metyleno)-2,5-cyckloheksadieno-1-ylideno)-N-etyloetanoamina, wodorotlenek, sól wewnętrzna, sól wapniowa (2:1) (Acid Blue 3; CI 42051), stosowane jako substancje w produktach do farbowania włosów","3536-49-0","222-573-8"
"1357","N-etylo-N-(4-((4-(etylo((3-sulfofenylo)metylo)amino)fenylo)(4- hydroksy-2-sulfofenylo)metyleno)-2,5-cyckloheksadieno-1-ylideno)-3-sulfobenzenometanoamina, wodorotlenek, sól wewnętrzna, sól disodowa (Fast Green FCF; CI 42053), stosowane jako substancje w produktach do farbowania włosów","2353-45-9","219-091-5"
"1358","1,3-izobenzofurandion, produkty reakcji z metylochinolinąi chinoliną(Solvent Yellow 33; CI 47000), stosowane jako substancje w produktach do farbowania włosów","8003-22-3","232-318-2"
"1359","Nigrozyna (CI 50420), stosowana jako substancja w produktach do farbowania włosów","8005-03-6","—"
"1360","8,18-dichloro-5,15-dietylo-5,15-dihydrodiindolo[3,2-b:3′,2′-m]trifenodioksazyna (Pigment Violet 23; CI 51319), stosowana jako substancja w produktach do farbowania włosów","6358-30-1","228-767-9"
"1361","1,2-dihydroksyantrachinon (Pigment Red 83; CI 58000), stosowany jako substancja w produktach do farbowania włosów","72-48-0","200-782-5"
"1362","8-hydroksypireno-1,3,6-trisulfonian trisodu (Solvent Green 7; CI 59040), stosowany jako substancja w produktach do farbowania włosów","6358-69-6","228-783-6"
