"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"265","1,4-diaminoantrachinon","Disperse Violet 1","128-95-0","204-922-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %","Zanieczyszczenie Disperse Red 15 w barwniku Disperse Violet 1 w preparatach do farbowania do włosów powinno wynosić <1 % (w/w)",
"266","Etanol, 2-[(4-amino-2-nitrofenylo)amino]-","HC Red No 3","2871-01-4","220-701-7","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 3,0 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,45 % <br>Dla a) i b): <br>— nie używać z czynnikami nitrozującymi <br>— maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— przechowywać w pojemnikach niezawierających azotynów","Dla a): Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>Dla a) i b): <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"267","Chlorek [7-hydroksy-8-[(2-metoksyfenylo)azo]-2-naftylo]trimetyloammonium","Basic Red 76","68391-30-0","269-941-4","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","2,0 %",,
"268","chlorek 2- [[4- (dimetyloamino) fenylo] azo-1,3-dimetylo-1H-imidazolu]","Basic Red 51","77061-58-6","278-601-4","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,0 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,5 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"269","chlorowodorek fenol, 2-amino-5-etylu,","2-Amino-5-Ethylphenol HCl","149861-22-3",,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"270","sól disodowa 2',4',5',7' -tetrabromo-4,5,6,7-tetrachlorofluoresceiny (CI 45410)","Acid Red 92","18472-87-2","242-355-6","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,4 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"271","Mieszanina (1), (2) i (3) w środku dyspergującym (lignosiarczan): <br>(1) 9,10-antracenodion, -1,4-bis[(2-hydroksyetylo)amino] <br>(2) 9,10-antracenodion, -1-[(2-hydroksyetylo)amino]-4-[(3-hydroksypropylo)amino] <br>(3) 9,10-antracenodion, -1,4-bis[(3-hydroksypropylo)amino]","Disperse Blue 377 is a mixture of three dyes: <br>(1) 1,4-bis[(2-hydroxyethyl)amino]anthra-9,10-quinone <br>(2) 1-[(2-hydroxyethyl)amino]-4-[(3-hydroxypropyl)amino]anthra-9,10-quinone <br>(3) 1,4-bis[(3-hydroxypropyl)amino]anthra-9,10-quinone","(1) 4471-41-4  <br>(2) 67674-26-4 <br>(3) 67701-36-4","(1) 224-743-7 <br>(2) 266-865-3 <br>(3) 266-954-7","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","2,0 %",,
"272","4-aminofenol","p-Aminophenol","123-30-8","204-616-2","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Produkty przeznaczone do barwienia rzęs","b) Stosowanie profesjonalne","a) b) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 0,9 %","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Tylko do użytku profesjonalnego. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"273","Siarczan 4,5-diamino-l-(2-hydroksyetylo)-1H-pirazolu (1:1)","1-Hydroxyethyl-4,5-Diamino Pyrazole Sulfate","155601-30-2","429-300-3","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 3,0 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"274","4-metylobenzenosulfionian 4-formylo-1-metylochinoliniowy (1:1)","4-Formyl-1-Methylquinolinium-p-Toluenesulfonate","223398-02-5","453-790-8","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,5 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"275","metylosiarczan 1- metylo-4- [(metylofenylohydrazono) metylo]-pirydyniowy","Basic Yellow 87","68259-00-7","269-503-2","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,0 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"276","chlorek 2- [(4- (aminofenylo) azo-1,3-dimetylo-1H-imidazolu]","Basic Orange 31","97404-02-9","306-764-4","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,0 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,5 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"277","2,6-pirydynodiamina, 3-(3-pirydynolazo)","2,6-Diamino-3-((Pyridine-3-yl)azo)Pyridine","28365-08-4","421-430-9","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,25 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,25 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"278","Monohydrowodorek 4- ((4-amino-3-metylofenylo) (4-imino-3-metylo-2,5-cykloheksadieno-1-ilideno) metylo) -2-metylofenylaminy (CI 42520)","Basic Violet 2","3248-91-7","221-831-7","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,5 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"279","2,3-diamino-6,7-dihydro-1H, 5H-pirazolo [1,2-a] pirazolo-1-on dimetanosulfonian","2,3-Diaminodihydropyrazolopyrazolone Dimethosulfonate","857035-95-1","469-500-8","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"280","sól sodowa 2-amino-4,6-dinitrofenolu i 2-amino-4,6-dinitrofenolu","Picramic Acid, Sodium Picramate","96-91-3, 831-52-7","202-544-6, 212-603-8","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,6 %","a) po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,6 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
